word,topicid,topicval
1,"[8, 19, 18, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
one,"[6, 1, 14, 19, 9, 2, 5, 15, 13, 12, 11, 10, 18, 8, 7, 16, 4, 3, 17, 0]","[1.0, 3.1501390844903519e-90, 1.0831749396502271e-105, 1.6826795946227829e-211, 2.257996942139617e-247, 1.6461160961258467e-306, 9.8813129168249309e-324, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
also,"[13, 19, 8, 1, 2, 3, 4, 5, 6, 7, 9, 18, 10, 11, 12, 14, 15, 16, 17, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
call,"[14, 1, 9, 2, 7, 19, 13, 12, 11, 10, 18, 8, 15, 6, 5, 4, 3, 16, 17, 0]","[1.0, 2.2446498850811312e-122, 1.1473416557154399e-198, 4.2092941104835157e-231, 4.8482206910647149e-239, 1.128490806734946e-293, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
unit,"[17, 14, 19, 8, 1, 2, 3, 4, 5, 6, 7, 9, 18, 10, 11, 12, 13, 15, 16, 0]","[1.0, 3.39352439765155e-267, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
multipl,"[1, 14, 9, 19, 2, 5, 7, 18, 13, 6, 0, 15, 16, 12, 11, 10, 8, 4, 3, 17]","[0.99999999999994316, 3.6935916814075274e-14, 2.361882487018496e-38, 2.4865556167326251e-41, 1.3626137859828929e-41, 3.2908973744679399e-59, 2.4409637451507975e-65, 3.7604293413179497e-88, 1.4341193332031771e-218, 1.1270144858510749e-228, 1.4576248684586848e-230, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ident,"[9, 2, 7, 19, 18, 5, 1, 0, 14, 4, 13, 15, 12, 11, 10, 8, 16, 6, 3, 17]","[0.99999999860904154, 1.3897600458689918e-09, 1.1779339662831041e-12, 3.780072535738153e-17, 5.0150820780938206e-19, 3.7533016735613776e-30, 9.3248656530328072e-37, 1.9924049253337344e-55, 3.680645494092299e-62, 1.7763518060710597e-84, 6.0936011820351212e-316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
number,"[17, 19, 8, 1, 2, 3, 4, 5, 6, 7, 9, 18, 10, 11, 12, 13, 14, 15, 16, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
numer,"[5, 1, 9, 2, 19, 14, 7, 18, 0, 4, 6, 13, 12, 11, 10, 8, 15, 3, 16, 17]","[1.0, 1.3349834101944663e-23, 2.0827430495460969e-35, 2.7981886121891649e-36, 1.000389390038675e-43, 9.2702889377584355e-44, 9.9275047293036241e-51, 2.1865926937502352e-54, 1.5475086133344268e-135, 6.4042667415551511e-208, 3.8495707226662194e-234, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
glyph,"[15, 4, 0, 18, 7, 2, 9, 19, 5, 1, 14, 12, 11, 10, 13, 8, 6, 16, 3, 17]","[1.0, 5.8165863197439985e-31, 1.1665293188887485e-31, 1.2023409025455464e-36, 5.2694828969066786e-40, 2.8582355374440525e-76, 5.5682381671151104e-108, 1.1436719687266792e-198, 1.3411406009284105e-210, 6.2565436351637751e-277, 2.7682898310032555e-279, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
(,"[3, 19, 18, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
